konum,fiyat,ilan_tarihi,metrekare,bina_yasi,toplam_kat_sayisi,oda_sayisi,bulundugu_kat,kredi_uygunlugu
sariyer,7535000,13 Aralık 2021,170.0,3,40,2+1,21. Kat,Krediye Uygun
sariyer,4250000,20 Ekim 2021,280.0,5,2,4+1,Düz Giriş,Krediye Uygun
sile,4300000,28 Şubat 2022,300.0,0,2,4+2,Villa Tipi,Krediye Uygun
silivri,625000,06 Şubat 2022,75.0,11,10,2+1,3. Kat,Krediye Uygun
silivri,850000,18 Aralık 2021,300.0,11,3,5+2,Bahçe Dublex,Krediye Uygun
silivri,42000000,22 Şubat 2022,350.0,5,2,3+2,Villa Tipi,Krediye Uygun
sisli,450000,02 Mart 2022,70.0,21,5,2+1,Düz Giriş,Krediye Uygun Değil
sisli,27000000,02 Mart 2022,241.0,0,30,4.5+1,30-40. Kat,Krediye Uygun
sisli,4500000,07 Aralık 2021,125.0,5,30,1+1,7. Kat,Krediye Uygun
sisli,20000000,09 Şubat 2022,250.0,11,6,3+1,Çatı Katı,Krediye Uygun
sultanbeyli,940000,04 Mart 2022,115.0,3,8,3+1,1. Kat,Krediye Uygun
sultanbeyli,750000,28 Şubat 2022,105.0,1,7,2+1,1. Kat,Krediye Uygun
sultanbeyli,620000,22 Ocak 2022,250.0,11,5,3+1,5. Kat,Bilinmiyor
sultangazi,1595000,23 Şubat 2022,240.0,5,6,4+2,5. Kat,Krediye Uygun
sultangazi,659000,12 Şubat 2022,130.0,21,5,2+1,1. Kat,Krediye Uygun Değil
sultangazi,1249000,01 Şubat 2022,125.0,3,11,3+1,2. Kat,Krediye Uygun
sultangazi,799000,17 Ocak 2022,110.0,5,5,3+1,Yüksek Giriş,Krediye Uygun
sultangazi,770000,01 Mart 2022,90.0,4,5,2+1,1. Kat,Krediye Uygun
sultangazi,415000,29 Aralık 2021,85.0,11,4,2+1,Yüksek Giriş,Krediye Uygun
sultangazi,645000,04 Şubat 2022,120.0,11,5,2+1,1. Kat,Krediye Uygun
sultangazi,580000,25 Eylül 2021,100.0,0,4,2+1,1. Kat,Krediye Uygun
tuzla,2190000,02 Mart 2022,125.0,0,7,3+1,6. Kat,Krediye Uygun
tuzla,1900000,14 Şubat 2022,164.0,0,5,3+1,5. Kat,Krediye Uygun
tuzla,1500000,16 Ocak 2022,114.0,3,11,2+1,9. Kat,Krediye Uygun
tuzla,1350000,12 Şubat 2022,545.0,3,1,3+1,Müstakil,Krediye Uygun
umraniye,1504000,21 Şubat 2022,140.0,11,7,3+1,2. Kat,Krediye Uygun
umraniye,1300000,07 Şubat 2022,140.0,16,11,3+1,4. Kat,Krediye Uygun
umraniye,1350000,24 Ocak 2022,90.0,4,7,2+1,3. Kat,Krediye Uygun
umraniye,725000,05 Ocak 2022,120.0,5,5,2+1,Yüksek Giriş,Krediye Uygun
umraniye,900000,09 Kasım 2021,100.0,0,5,3+1,4. Kat,Krediye Uygun
uskudar,2500000,27 Şubat 2022,80.0,4,4,2+1,1. Kat,Krediye Uygun Değil
uskudar,600000,22 Şubat 2022,55.0,21,4,2+1,Yüksek Giriş,Krediye Uygun
uskudar,6200000,25 Ocak 2022,215.0,0,4,4+1,2. Kat,Krediye Uygun
uskudar,2225000,02 Ocak 2022,160.0,5,9,3+1,3. Kat,Krediye Uygun Değil
uskudar,2700000,21 Şubat 2022,100.0,21,3,2+1,2. Kat,Krediye Uygun
uskudar,775000,07 Mart 2022,100.0,11,4,2+1,Yüksek Giriş,Krediye Uygun Değil
zeytinburnu,3000000,29 Aralık 2021,120.0,0,14,2+1,3. Kat,Krediye Uygun
